target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,GradDiff,forget10,sud,2,False,0.7,0.001490359996090223,0.00054239838467537,0.005974735153083983,0.52583599029525,0.5178254684083844,3.966942318975938e-200,0.5340982445463305,61.710635530892574,2.56,True,5.0,True,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget10,sud,3,False,0.9,0.0003609961791791288,0.00012284653978648105,0.005946452567037099,0.5175032092909715,0.501780244941976,3.966942318975938e-200,0.5342433854698903,61.70759854034824,3.44,True,5.0,True,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget10,baseline_q,,,,0.0001759682554174,5.93979246556085e-05,0.0047390237095774,0.5234053188215757,0.5141458211220454,3.9669423189759387e-200,0.533004450587905,61.701524559259546,,,5.0,True,False,,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,IdkDPO,forget10,sud,1,False,0.95,0.41942645602545064,0.5738669154913592,0.40147729200164056,0.34255263148271137,0.21019316801588256,2.5720789009736948e-05,0.925077679916285,-63.03577573840806,2.0,True,3.0,True,False,True,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget10,sud,2,False,0.9,0.3790602779635593,0.539510726226923,0.28876829775604723,0.3849421015529611,0.24428707148554732,4.455792684961036e-06,0.9074064101511613,-74.36678745935627,2.5,True,3.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget10,sud,3,False,0.8,0.26529751171692223,0.46952938162664143,0.1359025374798006,0.5494346060767904,0.39963191278410487,1.3711905167668337e-07,0.8788867972418666,-88.55763194289524,3.12,True,3.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget10,baseline_q,,,,0.0,0.6037221286071325,0.5370812627007113,0.0,0.0,0.0004368337391825,0.8961869689822197,-48.85859771231866,,,3.0,True,False,,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,IdkNLL,forget10,sud,1,False,0.95,0.17706491689574747,0.4647918962346081,0.07696371333773352,0.5560801442080183,0.39710404205733296,1.3150137716657251e-11,0.9273236607993022,-93.9280435554772,2.0,False,1.0,False,False,True,5e-05,5.0,NLL
